Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,518700.000000,555450.000000,508200.000000,540750.000000,-232118.875000,441709
2000-01-05,507150.000000,523950.000000,477750.000000,485100.000000,-208230.875000,353061
2000-01-06,493500.000000,499800.000000,454650.000000,459900.000000,-197413.687500,310909
2000-01-07,445200.000000,470400.000000,436800.000000,455700.000000,-195610.812500,499628
2000-01-10,462000.000000,468300.000000,451500.000000,451500.000000,-193807.921875,382932
2000-01-11,462000.000000,489300.000000,459900.000000,468300.000000,-201019.390625,536613
2000-01-12,462000.000000,487200.000000,457800.000000,474600.000000,-203723.750000,329356
2000-01-13,483000.000000,494550.000000,472500.000000,493500.000000,-211836.609375,532408
2000-01-14,509250.000000,516600.000000,474600.000000,478800.000000,-205526.625000,587523
2000-01-17,497700.000000,536550.000000,491400.000000,522900.000000,-224456.656250,975008
2000-01-18,525000.000000,539700.000000,505050.000000,525000.000000,-225358.109375,694337
2000-01-19,525000.000000,537600.000000,514500.000000,514500.000000,-220850.906250,634599
2000-01-20,511350.000000,567000.000000,500850.000000,567000.000000,-243386.718750,1155922
2000-01-21,556500.000000,596400.000000,554400.000000,558600.000000,-239780.937500,1487560
2000-01-24,575400.000000,584850.000000,562800.000000,567000.000000,-243386.718750,582556
2000-01-25,556500.000000,562800.000000,541800.000000,543900.000000,-233470.953125,497451
2000-01-26,549150.000000,558600.000000,541800.000000,555450.000000,-238428.812500,433723
2000-01-27,556500.000000,562800.000000,535500.000000,546000.000000,-234372.453125,428171
2000-01-28,546000.000000,588000.000000,541800.000000,581700.000000,-249696.750000,803937
2000-01-31,568050.000000,573300.000000,552300.000000,554400.000000,-237978.140625,612623
2000-02-01,546000.000000,552300.000000,514500.000000,514500.000000,-220850.906250,929803
2000-02-02,513450.000000,514500.000000,487200.000000,501900.000000,-215442.343750,769984
2000-02-03,495600.000000,506100.000000,477750.000000,484050.000000,-207780.140625,756656
2000-02-04,484050.000000,484050.000000,484050.000000,484050.000000,-207780.140625,0
